RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VIVersatility,ORTGOffensive,DRTGDefensive
,Jaxson Hayes,Nor,C-F,22,6,13.8,28.8,17.6,11.8,11,0.636,22,0.636,3,0,0.56,0.586,5.8,2.5,10.7,0.2,1.9,0,0.33,0.67,4.1,109.4,104
,Juancho Hernangomez,Uta,F,27,6,9.3,19.4,16.8,10,0,0,6,0.167,12,0.333,0.389,0.389,2.3,2,12.5,0.8,14,0.33,0,0.33,6.6,92.4,104.7
,Willy Hernangomez,Nor,C-F,28,1,1.9,4,90.6,0,0,0,3,0.333,1,0,0.25,0.25,2,2,62.1,0,0,0,0,0,0,,
,Tyler Herro,Mia,G,22,15,25.4,52.9,25.7,12.3,27,0.926,111,0.523,70,0.229,0.453,0.49,12.6,3.8,8.8,2.8,18.4,0.6,0.4,1.8,8.1,96.8,106.9
,Haywood Highsmith,Mia,F,26,8,3.9,8.1,14.3,30,0,0,2,0,5,0.6,0.643,0.643,1.1,0.6,9.5,0.4,13.9,0,0,0.38,6.6,,
,George Hill,Mil,G,36,5,15.3,31.8,3.9,14.5,2,1,3,0,2,0.5,0.3,0.425,1,1.2,4,0.6,5,0,0,0.2,2.3,103.7,103.7
,Aaron Holiday,Pho,G,26,6,3.3,6.8,33.7,0,1,0,7,0.429,7,0.714,0.75,0.727,3.5,0.5,8.9,1.5,101.2,0.5,0.17,0,16.7,,
,Jrue Holiday,Mil,G,32,12,38.6,80.4,26.4,12,31,0.839,156,0.41,79,0.316,0.432,0.461,19.1,5.6,7.4,6.5,27.6,1.75,0.58,2.83,9.2,97.7,107
,Al Horford,Bos,C-F,36,23,35.4,73.8,13.1,12.2,36,0.778,95,0.568,98,0.48,0.645,0.663,12,9.3,14.8,3.3,14.6,0.83,1.35,1.26,8.1,129.9,100
,Danuel House Jr.,Uta,F-G,29,6,18.6,38.8,13.2,19,8,0.75,12,0.583,10,0.2,0.455,0.509,4.3,2.8,8.9,0.7,5.5,0,0.17,1,4.4,93.7,109.1
,Kevin Huerter,Atl,G-F,24,5,30.7,64,17.9,18.4,4,0.75,16,0.5,31,0.29,0.457,0.472,9.2,3,5.9,3.8,20.4,1.2,0.6,2.2,6.1,92.1,107.7
,De'Andre Hunter,Atl,F-G,25,5,34.9,72.8,23.7,12.2,20,0.8,44,0.614,26,0.462,0.643,0.673,21.2,3.8,6.6,0.6,3.5,0.8,0.2,2.2,4.2,115.2,106.7
,Bones Hyland,Den,G,22,5,17.3,36.1,24.2,12.5,14,0.857,13,0.385,23,0.348,0.472,0.546,9.2,2,7.1,3.2,27.5,0.2,0,1.2,9,112.4,103.2
,Serge Ibaka,Mil,F,33,6,3.7,7.7,37,10.6,2,0.5,13,0.308,3,0,0.25,0.267,1.5,1.7,23.2,0,0,0,0,0.33,0,,
,Andre Iguodala,Gol,G-F,38,7,8.8,18.3,10.2,27.9,3,0.667,6,0.5,3,0.333,0.5,0.533,1.6,1,6.4,1.7,24.5,0,0.29,0.57,6.3,115.6,96.3
,Brandon Ingram,Nor,F,25,6,39.3,81.8,29.5,14.2,47,0.83,91,0.495,27,0.407,0.521,0.584,27,6.2,9.3,6.2,27.3,0.67,0.33,3.83,10.3,111.8,112.2
,Kyrie Irving,Bro,G,30,4,42.6,88.8,21.9,11.1,21,1,42,0.476,21,0.381,0.508,0.588,21.3,5.3,8,5.3,18.8,1.75,1.25,2.25,7.9,120.3,110
,Jaren Jackson Jr.,Mem,F-C,23,12,27.7,57.6,24.1,8.2,53,0.755,84,0.381,72,0.375,0.465,0.516,15.4,6.7,12.7,0.9,5.1,0.75,2.5,1.33,6.5,108,96.1
,Isaiah Joe,Phi,G,23,7,2.1,4.4,25.6,37.5,0,0,2,0.5,3,0.333,0.5,0.5,0.7,0.3,8.3,0,0,0,0,0.43,0,,
,Cameron Johnson,Pho,F,26,13,24.6,51.3,18,9.6,32,0.813,40,0.6,59,0.373,0.576,0.619,10.8,3.5,8.4,1.5,8.7,0.38,0.08,0.92,6.2,120.1,104.2
,Jalen Johnson,Atl,F,21,2,4.6,9.6,20,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,123.5
,Nikola Jokic,Den,C,27,5,34.2,71.3,36.8,16.6,33,0.848,88,0.636,18,0.278,0.599,0.643,31,13.2,23.9,5.8,36.5,1.6,1,4.8,15.6,116,98.4
,Derrick Jones Jr.,Chi,F,25,5,11.8,24.6,15.8,14.1,3,0.667,6,0.667,11,0.273,0.5,0.519,3.8,1.4,5.9,0.4,5.3,0.2,0,0.6,4.4,99.5,104.8
,Herbert Jones,Nor,F,24,6,37.7,78.5,11.7,13,22,0.773,32,0.5,12,0.417,0.534,0.596,10.7,3.3,5.2,1.8,6.8,1.83,0.83,1.33,4.2,117.9,106.9
,Tyus Jones,Mem,G,26,12,21.9,45.5,18.5,11,15,0.933,54,0.389,45,0.4,0.485,0.521,9.2,3.3,7.9,4.5,30.3,1.17,0.17,1.08,9.4,116.1,109.4
,DeAndre Jordan,Phi,C,34,3,10.2,21.3,10.7,28.6,0,0,5,1,0,0,1,1,3.3,2.3,14,0.3,5.5,0,0.67,0.67,5.2,133.1,100.4
,Maxi Kleber,Dal,F,30,18,25.4,52.8,13.1,8.7,21,0.714,28,0.714,78,0.436,0.67,0.681,8.7,4.6,10.5,1.1,6.9,0.22,0.83,0.61,5.6,130.5,102.3
,Kevin Knox II,Atl,F,23,2,4.6,9.6,74.4,20.2,2,1,1,1,10,0.6,0.909,0.926,11,1,13.1,0,0,1,0,1.5,0,1019.8,103.9
,John Konchar,Mem,G,26,8,7,14.5,9.5,7.8,2,1,5,0.4,6,0.167,0.318,0.379,1.1,2.4,18,0.6,11.6,0.38,0.13,0.13,6.7,104.4,94.8
,Furkan Korkmaz,Phi,G-F,25,9,6.8,14.2,19.8,7.7,2,1,13,0.538,10,0.4,0.565,0.586,3.1,1.3,11.9,0.4,11.3,0.11,0.11,0.22,6.9,113.1,101.8
,Luke Kornet,Bos,F-C,27,10,2,4.1,11.5,20,0,0,3,0.667,1,1,0.875,0.875,0.7,0.5,14.4,0.1,8.3,0,0,0.1,6.5,,
,Jonathan Kuminga,Gol,F,20,16,8.6,17.9,26.3,13.3,26,0.769,47,0.574,13,0.231,0.525,0.581,5.2,1.7,11,0.5,9,0.19,0.13,0.69,7.6,105.6,103.3
,Zach LaVine,Chi,G-F,27,4,38.2,79.5,23.4,14.7,15,0.933,39,0.462,24,0.375,0.5,0.553,19.3,5.3,6.9,6,27.1,0.75,0.25,3,8.9,105.9,111.3
,Damion Lee,Gol,G-F,30,16,7.8,16.1,14.6,14.5,3,0.667,18,0.5,16,0.25,0.441,0.453,2,1.6,11.8,0.4,7.5,0.06,0,0.38,5.6,91.4,105.9
,Kevon Looney,Gol,F,26,22,20.4,42.4,11.3,16.5,18,0.611,88,0.659,0,0,0.659,0.662,5.8,7.6,21,2.2,14.6,0.41,0.45,0.86,9,140.2,97.8
,Brook Lopez,Mil,C,34,12,27.7,57.6,16.1,8.9,23,0.913,74,0.595,28,0.214,0.52,0.566,10.6,5.9,11,0.7,3.7,0.5,1.5,0.92,5.1,117.3,104.4
,Kyle Lowry,Mia,G,36,10,29.5,61.4,17.1,16.8,19,0.789,32,0.375,54,0.241,0.366,0.413,7.8,3.6,7.2,4.7,22.5,1.2,0.7,1.9,6.9,91.6,101.3
,Timothe Luwawu-Cabarrot,Atl,G-F,27,4,5.5,11.5,10.4,20,0,0,1,1,3,0.333,0.625,0.625,1.3,0.8,8.2,0.5,14.5,0,0,0.25,5.8,110.3,89.7
,Boban Marjanovic,Dal,C,34,3,2.1,4.3,52.6,29.1,2,1,4,0.25,0,0,0.25,0.41,1.3,1,28.2,0,0,0.33,0,0.67,0,,
